관리번호,위도,경도,geometry
겸재교1-01,37.585726,127.071579,POINT (127.071579 37.585726)
겸재교1-02,37.585568,127.071684,POINT (127.071684 37.585568)
겸재교1-03,37.58543,127.071795,POINT (127.071795 37.58543)
겸재교1-04,37.585255,127.071938,POINT (127.071938 37.585255)
겸재교1-05,37.58511,127.072061,POINT (127.072061 37.58511)
겸재교1-06,37.585088,127.072139,POINT (127.072139 37.585088)
겸재교1-23,37.584775,127.072318,POINT (127.072318 37.584775)
겸재교1-25,37.584504,127.072556,POINT (127.072556 37.584504)
겸재교1-26,37.584344,127.072673,POINT (127.072673 37.584344)
겸재교1-27,37.584201,127.072791,POINT (127.072791 37.584201)
겸재교1-28,37.584909,127.07186,POINT (127.07186 37.584909)
겸재교1-29,37.584894,127.071773,POINT (127.071773 37.584894)
겸재교1-30,37.584872,127.071686,POINT (127.071686 37.584872)
겸재교1-31,37.584855,127.0716,POINT (127.0716 37.584855)
겸재교1-32,37.584835,127.071516,POINT (127.071516 37.584835)
겸재교1-33,37.584818,127.07143,POINT (127.07143 37.584818)
겸재교1-34,37.584798,127.071334,POINT (127.071334 37.584798)
겸재교1-35,37.584783,127.071259,POINT (127.071259 37.584783)
겸재교1-36,37.584764,127.071182,POINT (127.071182 37.584764)
겸재교1-37,37.584645,127.071207,POINT (127.071207 37.584645)
겸재교1-38,37.584663,127.071278,POINT (127.071278 37.584663)
겸재교1-39,37.584676,127.071365,POINT (127.071365 37.584676)
겸재교1-40,37.584699,127.07145,POINT (127.07145 37.584699)
겸재교1-41,37.584716,127.071537,POINT (127.071537 37.584716)
겸재교1-42,37.584736,127.071628,POINT (127.071628 37.584736)
겸재교1-43,37.584751,127.071698,POINT (127.071698 37.584751)
겸재교1-44,37.584771,127.071791,POINT (127.071791 37.584771)
겸재교1-45,37.584798,127.071885,POINT (127.071885 37.584798)
군자교-05,37.560112,127.072352,POINT (127.072352 37.560112)
군자교-06,37.560196,127.072135,POINT (127.072135 37.560196)
군자교-07,37.560284,127.071906,POINT (127.071906 37.560284)
군자교-08,37.560385,127.071655,POINT (127.071655 37.560385)
군자교-09,37.560476,127.071414,POINT (127.071414 37.560476)
군자교-10,37.560566,127.071183,POINT (127.071183 37.560566)
신답고가-01,37.571346,127.050086,POINT (127.050086 37.571346)
신답고가-02,37.571191,127.049928,POINT (127.049928 37.571191)
신답고가-03,37.571027,127.04977,POINT (127.04977 37.571027)
신답고가-04,37.570856,127.049602,POINT (127.049602 37.570856)
신답고가-05,37.570686,127.049436,POINT (127.049436 37.570686)
신답고가-06,37.570508,127.049265,POINT (127.049265 37.570508)
신답고가-07,37.57043,127.049386,POINT (127.049386 37.57043)
신답고가-08,37.570597,127.04956,POINT (127.04956 37.570597)
신답고가-09,37.570774,127.049728,POINT (127.049728 37.570774)
신답고가-10,37.570949,127.049903,POINT (127.049903 37.570949)
신답고가-11,37.571113,127.050066,POINT (127.050066 37.571113)
신답고가-12,37.571274,127.050225,POINT (127.050225 37.571274)
신답지하차도-13,37.568494,127.050504,POINT (127.050504 37.568494)
신답지하차도-14,37.568724,127.0502,POINT (127.0502 37.568724)
신답지하차도-15,37.568966,127.049853,POINT (127.049853 37.568966)
신답지하차도-17,37.569436,127.049222,POINT (127.049222 37.569436)
이문고가남단-01,37.599838,127.06768,POINT (127.06768 37.599838)
이문고가남단-02,37.600154,127.067653,POINT (127.067653 37.600154)
이문고가남단-03,37.600449,127.067633,POINT (127.067633 37.600449)
이문고가남단-04,37.600753,127.067609,POINT (127.067609 37.600753)
이문고가남단-05,37.601051,127.067587,POINT (127.067587 37.601051)
이문고가남단-06,37.601355,127.067562,POINT (127.067562 37.601355)
이문고가남단-07,37.601654,127.067546,POINT (127.067546 37.601654)
이문고가남단-08,37.601956,127.067519,POINT (127.067519 37.601956)
이문고가남단-09,37.602252,127.06749,POINT (127.06749 37.602252)
이문고가남단-10,37.602547,127.067469,POINT (127.067469 37.602547)
이문고가남단-11,37.602835,127.067453,POINT (127.067453 37.602835)
이문고가남단-12,37.603113,127.067431,POINT (127.067431 37.603113)
이문고가남단-13,37.603391,127.06741,POINT (127.06741 37.603391)
이문고가남단-14,37.603662,127.067387,POINT (127.067387 37.603662)
이문고가남단-15,37.603938,127.067363,POINT (127.067363 37.603938)
이문고가남단-16,37.604215,127.067343,POINT (127.067343 37.604215)
이문고가북단-01,37.604371,127.067156,POINT (127.067156 37.604371)
이문고가북단-02,37.604095,127.06718,POINT (127.06718 37.604095)
이문고가북단-03,37.603809,127.067194,POINT (127.067194 37.603809)
이문고가북단-04,37.603533,127.067227,POINT (127.067227 37.603533)
이문고가북단-05,37.603251,127.067248,POINT (127.067248 37.603251)
이문고가북단-06,37.602962,127.067269,POINT (127.067269 37.602962)
이문고가북단-07,37.602687,127.06729,POINT (127.06729 37.602687)
이문고가북단-08,37.602399,127.067311,POINT (127.067311 37.602399)
이문고가북단-09,37.602103,127.067334,POINT (127.067334 37.602103)
이문고가북단-10,37.601799,127.067363,POINT (127.067363 37.601799)
이문고가북단-11,37.601494,127.067382,POINT (127.067382 37.601494)
이문고가북단-12,37.601194,127.067409,POINT (127.067409 37.601194)
이문고가북단-13,37.600889,127.067431,POINT (127.067431 37.600889)
이문고가북단-14,37.600596,127.067452,POINT (127.067452 37.600596)
이문고가북단-15,37.6003,127.067472,POINT (127.067472 37.6003)
이문고가북단-16,37.600007,127.06749,POINT (127.06749 37.600007)
이문고가북단-17,37.599737,127.067518,POINT (127.067518 37.599737)
이화교-04,37.601452,127.072573,POINT (127.072573 37.601452)
이화교-05,37.601451,127.072207,POINT (127.072207 37.601451)
이화교-06,37.601444,127.071846,POINT (127.071846 37.601444)
이화교-07,37.60143,127.071494,POINT (127.071494 37.60143)
이화교-08,37.60136,127.07149,POINT (127.07149 37.60136)
이화교-09,37.601375,127.071838,POINT (127.071838 37.601375)
이화교-10,37.601382,127.072201,POINT (127.072201 37.601382)
이화교-11,37.601382,127.072578,POINT (127.072578 37.601382)
이화교경관-03,37.601494,127.07275,POINT (127.07275 37.601494)
이화교경관-04,37.601488,127.072397,POINT (127.072397 37.601488)
이화교경관-05,37.601484,127.072018,POINT (127.072018 37.601484)
이화교경관-06,37.601478,127.071644,POINT (127.071644 37.601478)
장안교-09,37.580275,127.076009,POINT (127.076009 37.580275)
장안교-10,37.580099,127.075971,POINT (127.075971 37.580099)
장안교-11,37.580189,127.076216,POINT (127.076216 37.580189)
장평교-03,37.57194,127.077952,POINT (127.077952 37.57194)
장평교-04,37.571993,127.077345,POINT (127.077345 37.571993)
장평교-05,37.572038,127.076739,POINT (127.076739 37.572038)
장평교-06,37.572077,127.076204,POINT (127.076204 37.572077)
장평교-07,37.572114,127.075702,POINT (127.075702 37.572114)
장평교-08,37.571967,127.075799,POINT (127.075799 37.571967)
장평교-09,37.571927,127.076365,POINT (127.076365 37.571927)
장평교-10,37.57188,127.076976,POINT (127.076976 37.57188)
장평교-11,37.571823,127.077615,POINT (127.077615 37.571823)
장평교-12,37.571779,127.078156,POINT (127.078156 37.571779)
중랑교-04,37.592573,127.07032,POINT (127.07032 37.592573)
중랑교-05,37.592505,127.070079,POINT (127.070079 37.592505)
중랑교-06,37.592436,127.069843,POINT (127.069843 37.592436)
중랑교-07,37.592368,127.069611,POINT (127.069611 37.592368)
중랑교-08,37.592191,127.069672,POINT (127.069672 37.592191)
중랑교-09,37.59226,127.06992,POINT (127.06992 37.59226)
중랑교-10,37.592333,127.070156,POINT (127.070156 37.592333)
중랑교-11,37.592403,127.070404,POINT (127.070404 37.592403)
중랑지하차도-01,37.591837,127.068805,POINT (127.068805 37.591837)
중랑지하차도-02,37.591777,127.068815,POINT (127.068815 37.591777)
중랑지하차도-03,37.591603,127.068851,POINT (127.068851 37.591603)
중랑지하차도-04,37.591508,127.068868,POINT (127.068868 37.591508)
중랑지하차도-05,37.591409,127.068884,POINT (127.068884 37.591409)
중랑지하차도-06,37.591331,127.068896,POINT (127.068896 37.591331)
중랑지하차도-07,37.591146,127.068894,POINT (127.068894 37.591146)
중랑지하차도-08,37.59099,127.068882,POINT (127.068882 37.59099)
중랑지하차도-09,37.590835,127.068868,POINT (127.068868 37.590835)
중랑지하차도-10,37.590673,127.068856,POINT (127.068856 37.590673)
중랑지하차도-11,37.590521,127.068816,POINT (127.068816 37.590521)
중랑지하차도-12,37.590359,127.068788,POINT (127.068788 37.590359)
중랑지하차도-13,37.590714,127.069128,POINT (127.069128 37.590714)
중랑지하차도-14,37.59089,127.069162,POINT (127.069162 37.59089)
중랑지하차도-15,37.591064,127.069158,POINT (127.069158 37.591064)
중랑지하차도-16,37.591223,127.069158,POINT (127.069158 37.591223)
중랑지하차도-17,37.591342,127.069143,POINT (127.069143 37.591342)
중랑지하차도-18,37.591424,127.069121,POINT (127.069121 37.591424)
중랑지하차도-19,37.59152,127.069101,POINT (127.069101 37.59152)
중랑지하차도-20,37.591627,127.069078,POINT (127.069078 37.591627)
중랑지하차도-21,37.591673,127.06905,POINT (127.06905 37.591673)
중랑지하차도-22,37.591701,127.069048,POINT (127.069048 37.591701)
중랑지하차도-23,37.591731,127.069045,POINT (127.069045 37.591731)
중랑지하차도-24,37.591662,127.068988,POINT (127.068988 37.591662)
중랑지하차도-25,37.591692,127.068985,POINT (127.068985 37.591692)
중랑지하차도-26,37.591726,127.068981,POINT (127.068981 37.591726)
중랑지하차도-27,37.59166,127.06895,POINT (127.06895 37.59166)
중랑지하차도-28,37.59169,127.068949,POINT (127.068949 37.59169)
중랑지하차도-29,37.591722,127.068945,POINT (127.068945 37.591722)
중랑지하차도-30,37.591644,127.068888,POINT (127.068888 37.591644)
중랑지하차도-31,37.591677,127.06888,POINT (127.06888 37.591677)
중랑지하차도-32,37.591711,127.068874,POINT (127.068874 37.591711)
중랑지하차도-33,37.591822,127.069046,POINT (127.069046 37.591822)
중랑지하차도-34,37.591922,127.06903,POINT (127.06903 37.591922)
중랑지하차도-35,37.592033,127.069013,POINT (127.069013 37.592033)
중랑지하차도-36,37.592167,127.068982,POINT (127.068982 37.592167)
중랑지하차도-37,37.592342,127.068952,POINT (127.068952 37.592342)
청량1고가경관LP_1-01,37.588238,127.054109,POINT (127.054109 37.588238)
청량1고가경관LP_1-02,37.58821,127.05415,POINT (127.05415 37.58821)
청량1고가경관LP_1-03,37.588178,127.05423,POINT (127.05423 37.588178)
청량1고가경관LP_1-04,37.588153,127.054307,POINT (127.054307 37.588153)
청량1고가경관LP_1-05,37.58813,127.054375,POINT (127.054375 37.58813)
청량1고가경관LP_1-06,37.588105,127.054454,POINT (127.054454 37.588105)
청량1고가경관LP_1-07,37.588079,127.054541,POINT (127.054541 37.588079)
청량1고가경관LP_1-08,37.588059,127.054602,POINT (127.054602 37.588059)
청량1고가경관LP_1-09,37.588038,127.054664,POINT (127.054664 37.588038)
청량1고가경관LP_1-10,37.588016,127.054725,POINT (127.054725 37.588016)
청량1고가경관LP_1-11,37.587993,127.054802,POINT (127.054802 37.587993)
청량1고가경관LP_1-12,37.587967,127.054892,POINT (127.054892 37.587967)
청량1고가경관LP_1-13,37.587942,127.05496,POINT (127.05496 37.587942)
청량1고가경관LP_1-14,37.587923,127.055016,POINT (127.055016 37.587923)
청량1고가경관LP_1-15,37.587913,127.055076,POINT (127.055076 37.587913)
청량1고가경관LP_2-01,37.58795,127.05408,POINT (127.05408 37.58795)
청량1고가경관LP_2-02,37.587926,127.054153,POINT (127.054153 37.587926)
청량1고가경관LP_2-03,37.587903,127.054229,POINT (127.054229 37.587903)
청량1고가경관LP_2-04,37.587882,127.05429,POINT (127.05429 37.587882)
청량1고가경관LP_2-05,37.58786,127.054364,POINT (127.054364 37.58786)
청량1고가경관LP_2-06,37.587841,127.05442,POINT (127.05442 37.587841)
청량1고가경관LP_2-07,37.587818,127.054485,POINT (127.054485 37.587818)
청량1고가경관LP_2-08,37.587796,127.054565,POINT (127.054565 37.587796)
청량1고가경관LP_2-09,37.587775,127.054634,POINT (127.054634 37.587775)
청량1고가경관LP_2-10,37.587744,127.054705,POINT (127.054705 37.587744)
청량1고가경관LP_2-11,37.587714,127.054789,POINT (127.054789 37.587714)
내_22-03,37.59446,127.040116,POINT (127.040116 37.59446)
내_22-04,37.594199,127.040008,POINT (127.040008 37.594199)
내_22-05,37.593941,127.039904,POINT (127.039904 37.593941)
내_22-06,37.593676,127.039788,POINT (127.039788 37.593676)
내_22-07,37.593431,127.039673,POINT (127.039673 37.593431)
내_22-08,37.593174,127.039553,POINT (127.039553 37.593174)
내_22-09,37.592923,127.039444,POINT (127.039444 37.592923)
내_22-10,37.592671,127.039335,POINT (127.039335 37.592671)
내_22-11,37.592414,127.039219,POINT (127.039219 37.592414)
내_22-12,37.592163,127.03911,POINT (127.03911 37.592163)
내_22-13,37.591905,127.038998,POINT (127.038998 37.591905)
내_22-14,37.591629,127.038897,POINT (127.038897 37.591629)
내_22-16,37.5911,127.038655,POINT (127.038655 37.5911)
내_22-17,37.590831,127.038528,POINT (127.038528 37.590831)
내_22-18,37.590574,127.038429,POINT (127.038429 37.590574)
내_22-19,37.590318,127.038317,POINT (127.038317 37.590318)
내_22-20,37.590066,127.038208,POINT (127.038208 37.590066)
내_22-21,37.589793,127.038083,POINT (127.038083 37.589793)
내_22-22,37.589527,127.037971,POINT (127.037971 37.589527)
내_22-23,37.589267,127.03786,POINT (127.03786 37.589267)
내_22-24,37.589014,127.037725,POINT (127.037725 37.589014)
내_22-25,37.588761,127.0376,POINT (127.0376 37.588761)
내_22-26,37.588508,127.037476,POINT (127.037476 37.588508)
내_22-27,37.588272,127.037362,POINT (127.037362 37.588272)
내_22-28,37.588038,127.037243,POINT (127.037243 37.588038)
내_23-01,37.58778,127.037106,POINT (127.037106 37.58778)
내_23-02,37.587531,127.036964,POINT (127.036964 37.587531)
내_23-03,37.587299,127.036837,POINT (127.036837 37.587299)
내_23-04,37.587067,127.036713,POINT (127.036713 37.587067)
내_23-05,37.586827,127.036576,POINT (127.036576 37.586827)
내_23-06,37.586581,127.036443,POINT (127.036443 37.586581)
내_23-07,37.586315,127.036307,POINT (127.036307 37.586315)
내_23-08,37.586063,127.036179,POINT (127.036179 37.586063)
내_23-09,37.585794,127.036055,POINT (127.036055 37.585794)
내_23-10,37.585538,127.03594,POINT (127.03594 37.585538)
내_23-11,37.58527,127.035847,POINT (127.035847 37.58527)
내_23-12,37.585015,127.035754,POINT (127.035754 37.585015)
내_23-13,37.584762,127.035688,POINT (127.035688 37.584762)
내_23-14,37.584495,127.03561,POINT (127.03561 37.584495)
내_23-15,37.58422,127.035557,POINT (127.035557 37.58422)
내_23-16,37.583984,127.035507,POINT (127.035507 37.583984)
내_23-17,37.583763,127.035452,POINT (127.035452 37.583763)
내_23-18,37.583535,127.035404,POINT (127.035404 37.583535)
내_23-19,37.583296,127.035345,POINT (127.035345 37.583296)
내_23-20,37.583065,127.0353,POINT (127.0353 37.583065)
내_23-21,37.582814,127.035248,POINT (127.035248 37.582814)
내_23-22,37.582567,127.035193,POINT (127.035193 37.582567)
내_23-23,37.582306,127.035138,POINT (127.035138 37.582306)
내_23-24,37.582049,127.035079,POINT (127.035079 37.582049)
내_23-25,37.581789,127.035023,POINT (127.035023 37.581789)
내_23-26,37.581526,127.034966,POINT (127.034966 37.581526)
내_23-27,37.581216,127.034899,POINT (127.034899 37.581216)
내_23-28,37.580921,127.034834,POINT (127.034834 37.580921)
내_23-29,37.580612,127.03477,POINT (127.03477 37.580612)
내_23-30,37.58033,127.034701,POINT (127.034701 37.58033)
내_23-31,37.580059,127.034649,POINT (127.034649 37.580059)
내_23-32,37.579781,127.034588,POINT (127.034588 37.579781)
내_23-33,37.579481,127.034534,POINT (127.034534 37.579481)
내_23-34,37.579164,127.034491,POINT (127.034491 37.579164)
내_23-35,37.578864,127.034449,POINT (127.034449 37.578864)
내_23-36,37.578544,127.034421,POINT (127.034421 37.578544)
내_23-37,37.57821,127.034403,POINT (127.034403 37.57821)
내_23-38,37.577903,127.034393,POINT (127.034393 37.577903)
내_23-39,37.577617,127.034394,POINT (127.034394 37.577617)
내_23-40,37.584329,127.035565,POINT (127.035565 37.584329)
내_24-01,37.577323,127.034407,POINT (127.034407 37.577323)
