노드 ID,정류소번호,정류소명,X좌표,Y좌표,정류소 타입,geometry
105000154,6240,NH농협장안평지점,127.0721655351,37.5751529569,일반차로,POINT (127.0721655351 37.5751529569)
105000155,6241,코리아병원,127.0716598633,37.5732069079,일반차로,POINT (127.0716598633 37.5732069079)
105000156,6242,새서울병원,127.0720050585,37.5731012702,일반차로,POINT (127.0720050585 37.5731012702)
105000157,6243,장안동삼성쉐르빌아파트,127.071355,37.5714,일반차로,POINT (127.071355 37.5714)
105000158,6244,장안동삼성쉐르빌아파트,127.070843,37.571238,일반차로,POINT (127.070843 37.571238)
105000159,6245,(구)경남호텔앞,127.070183,37.569605,일반차로,POINT (127.070183 37.569605)
105000160,6246,현대벤처빌.현대썬앤빌,127.0694007013,37.5689208635,일반차로,POINT (127.0694007013 37.5689208635)
105000161,6247,현대벤처빌,127.0690489433,37.5679144891,일반차로,POINT (127.0690489433 37.5679144891)
105000162,6248,우리은행장안지점앞,127.067727,37.566393,일반차로,POINT (127.067727 37.566393)
105000163,6249,우리은행장안지점앞,127.0676384821,37.565598658,일반차로,POINT (127.0676384821 37.565598658)
105000164,6250,북한연구소앞,127.0661434798,37.5634648165,일반차로,POINT (127.0661434798 37.5634648165)
105000165,6251,장한평역,127.064928,37.562295,일반차로,POINT (127.064928 37.562295)
105000166,6252,장한평역,127.0654362294,37.5624370636,일반차로,POINT (127.0654362294 37.5624370636)
105000167,6253,신이문역,127.067899,37.602617,일반차로,POINT (127.067899 37.602617)
105000168,6254,이문동현대아파트앞,127.070708,37.601002,일반차로,POINT (127.070708 37.601002)
105000169,6255,이문동현대아파트,127.0709847069,37.6008590191,일반차로,POINT (127.0709847069 37.6008590191)
105000170,6256,휘경2동주민센터,127.0680485017,37.5907361464,일반차로,POINT (127.0680485017 37.5907361464)
105000171,6257,휘경2동주민센터,127.068086,37.590505,일반차로,POINT (127.068086 37.590505)
105000172,6258,동부아동상담소.동국대부속중고,127.0763833794,37.576833541,일반차로,POINT (127.0763833794 37.576833541)
105000173,6259,장안삼성래미안2차아파트,127.0766223278,37.574681581,일반차로,POINT (127.0766223278 37.574681581)
105000174,6260,장안삼성래미안2차아파트.성복교회,127.076813,37.572847,일반차로,POINT (127.076813 37.572847)
105000175,6261,장안현대홈타운아파트앞,127.073388625,37.5697591707,일반차로,POINT (127.073388625 37.5697591707)
105000176,6262,구민회관앞,127.073943,37.566387,일반차로,POINT (127.073943 37.566387)
105000177,6263,파라브아파트,127.0723739757,37.5635828092,일반차로,POINT (127.0723739757 37.5635828092)
105000178,6264,장안현대홈타운상가,127.074378,37.571308,일반차로,POINT (127.074378 37.571308)
105000179,6265,장안현대홈타운앞,127.075618,37.56929,일반차로,POINT (127.075618 37.56929)
105000180,6266,장안치안센터,127.072502,37.567945,일반차로,POINT (127.072502 37.567945)
105000181,6267,장안치안센터,127.072702,37.568223,일반차로,POINT (127.072702 37.568223)
105000182,6268,장평중학교,127.0709395499,37.565745401,일반차로,POINT (127.0709395499 37.565745401)
105000183,6269,회기역종점,127.0588619251,37.5899003691,일반차로,POINT (127.0588619251 37.5899003691)
105000184,6270,경희대입구,127.053012,37.591272,일반차로,POINT (127.053012 37.591272)
105000185,6271,경희대입구,127.052713,37.591583,일반차로,POINT (127.052713 37.591583)
105000186,6272,서울바이오허브.농촌경제연구원,127.050135,37.591388,일반차로,POINT (127.050135 37.591388)
105000187,6273,서울바이오허브.농촌경제연구원,127.049277,37.591608,일반차로,POINT (127.049277 37.591608)
105000188,6274,한국과학기술원.홍릉초등학교,127.045747,37.591769,일반차로,POINT (127.045747 37.591769)
105000189,6275,한국과학기술원.홍릉초등학교,127.046963,37.591545,일반차로,POINT (127.046963 37.591545)
105000190,6276,국방연구원,127.041182,37.591413,일반차로,POINT (127.041182 37.591413)
105000191,6277,국방연구원,127.040058371,37.5911039928,일반차로,POINT (127.040058371 37.5911039928)
105000192,6278,세종대왕기념관,127.042380198,37.5898533719,일반차로,POINT (127.042380198 37.5898533719)
105000193,6279,세종대왕기념관,127.0425673859,37.5904615395,일반차로,POINT (127.0425673859 37.5904615395)
105000194,6280,영휘원사거리.(구)홍릉사거리,127.0431751633,37.5860009275,일반차로,POINT (127.0431751633 37.5860009275)
105000195,6281,영휘원사거리.(구)홍릉사거리,127.043466176,37.586014337,일반차로,POINT (127.043466176 37.586014337)
105000196,6282,동대문경찰서,127.0438781813,37.583817328,일반차로,POINT (127.0438781813 37.583817328)
105000197,6283,동대문경찰서,127.0442607393,37.5835585724,일반차로,POINT (127.0442607393 37.5835585724)
105000198,6284,현대코아,127.0448733855,37.5818120287,일반차로,POINT (127.0448733855 37.5818120287)
105000199,6285,현대코아,127.0446557984,37.5814859166,일반차로,POINT (127.0446557984 37.5814859166)
105000200,6286,동대문중앙새마을금고,127.041213,37.583118,일반차로,POINT (127.041213 37.583118)
105000201,6287,동대문중앙새마을금고,127.042218,37.582988,일반차로,POINT (127.042218 37.582988)
105000551,6288,제기동주민센터앞,127.0378676044,37.5829768901,일반차로,POINT (127.0378676044 37.5829768901)
105000203,6289,제기동한신아파트,127.0373610455,37.5866381789,일반차로,POINT (127.0373610455 37.5866381789)
105000204,6290,제기시장,127.03522,37.586385,일반차로,POINT (127.03522 37.586385)
105000205,6291,제기시장,127.03467,37.586625,일반차로,POINT (127.03467 37.586625)
105000207,6293,외대역앞,127.0609470779,37.596009591,일반차로,POINT (127.0609470779 37.596009591)
105000208,6294,외대역앞,127.0613604745,37.5960661454,일반차로,POINT (127.0613604745 37.5960661454)
105000209,6295,이경시장,127.0649927315,37.5952640352,일반차로,POINT (127.0649927315 37.5952640352)
105000211,6297,청랑리한신아파트.청량사입구,127.047414,37.586742,일반차로,POINT (127.047414 37.586742)
105000212,6298,전동초등학교.전농동SK아파트,127.060944646,37.5777508201,일반차로,POINT (127.060944646 37.5777508201)
105000213,6299,벽산아파트,127.030517,37.582758,일반차로,POINT (127.030517 37.582758)
105000214,6300,제기동천주교회,127.033572,37.582855,일반차로,POINT (127.033572 37.582855)
105000215,6301,이문동쌍용아파트,127.0689799868,37.5988156622,일반차로,POINT (127.0689799868 37.5988156622)
105000216,6302,이문동쌍용아파트,127.069119,37.598831,일반차로,POINT (127.069119 37.598831)
105000217,6303,이문1동주민센터,127.065257,37.597807,일반차로,POINT (127.065257 37.597807)
105000218,6304,전동초등학교.전농동SK아파트,127.061495,37.57812,일반차로,POINT (127.061495 37.57812)
105000222,6308,한국산업인력공단서울지역본부,127.07297,37.58375,일반차로,POINT (127.07297 37.58375)
105000223,6309,휘경공고휘경주공아파트,127.069252,37.584163,일반차로,POINT (127.069252 37.584163)
105000559,6310,e편한세상청계센트럴포레아파트,127.03029,37.570818,일반차로,POINT (127.03029 37.570818)
105000558,6311,한천로입구,127.067351,37.599119,일반차로,POINT (127.067351 37.599119)
105000226,6313,래미안장안1차아파트앞,127.072023,37.566832,일반차로,POINT (127.072023 37.566832)
105000227,6314,장평중학교앞,127.070252,37.56496,일반차로,POINT (127.070252 37.56496)
105000228,6315,청량리미주상가앞,127.0472557344,37.5819579768,가로변전일,POINT (127.0472557344 37.5819579768)
105000231,6318,종로사약국,127.0653057725,37.5945213658,일반차로,POINT (127.0653057725 37.5945213658)
105000233,6320,회기동현대아파트,127.05446,37.589113,일반차로,POINT (127.05446 37.589113)
105000234,6321,우산빌딩앞,127.0546770593,37.588882349,일반차로,POINT (127.0546770593 37.588882349)
105000235,6322,배봉산입구,127.068212,37.580325,일반차로,POINT (127.068212 37.580325)
105000243,6330,동부아파트,127.045232,37.586688,일반차로,POINT (127.045232 37.586688)
105000248,6335,자동차부품상가,127.0577756725,37.5645946726,일반차로,POINT (127.0577756725 37.5645946726)
105000262,6349,청랑리한신아파트.청량사입구,127.047667,37.586516,일반차로,POINT (127.047667 37.586516)
105000550,6356,장안동삼성쉐르빌아파트앞,127.0702110373,37.5723084893,일반차로,POINT (127.0702110373 37.5723084893)
105000269,6357,동대문노인종합복지관,127.0497131121,37.5859460919,일반차로,POINT (127.0497131121 37.5859460919)
105000270,6358,쌍용아파트,127.068471,37.601422,일반차로,POINT (127.068471 37.601422)
105000271,6359,쌍용아파트,127.0685216442,37.6014515002,일반차로,POINT (127.0685216442 37.6014515002)
105000287,6416,삼육서울병원,127.0623612795,37.5902833371,일반차로,POINT (127.0623612795 37.5902833371)
105000288,6417,동일스위트리버앞.휘봉고교,127.0676591393,37.5871806733,일반차로,POINT (127.0676591393 37.5871806733)
105000289,6418,청량리수산시장,127.0408714095,37.5786434462,일반차로,POINT (127.0408714095 37.5786434462)
105000290,6419,휘봉초등학교,127.069695,37.587707,일반차로,POINT (127.069695 37.587707)
105000477,6422,휘경미소지움아파트,127.0645643148,37.5909282333,일반차로,POINT (127.0645643148 37.5909282333)
105000549,6423,휘경공고.휘경주공아파트,127.069714,37.584471,일반차로,POINT (127.069714 37.584471)
105000479,6424,용두동신동아아파트,127.0325997915,37.5740450496,일반차로,POINT (127.0325997915 37.5740450496)
105000488,6426,청량리수산시장,127.0418950942,37.5789521614,일반차로,POINT (127.0418950942 37.5789521614)
105900043,6500,답십리역,127.0531915243,37.5667684599,마을버스,POINT (127.0531915243 37.5667684599)
105900028,6501,가든아파트.수사연구소,127.072077,37.58455,마을버스,POINT (127.072077 37.58455)
105900027,6502,회기역,127.0577963876,37.5899342359,마을버스,POINT (127.0577963876 37.5899342359)
105900026,6503,농협답십리역지점,127.050678,37.568489,마을버스,POINT (127.050678 37.568489)
105900025,6504,동일하이빌.현대베스트빌아파트,127.0739978057,37.5824731826,마을버스,POINT (127.0739978057 37.5824731826)
105900057,6505,동안교회,127.0577733522,37.5938269496,마을버스,POINT (127.0577733522 37.5938269496)
105900051,6506,경희대입구,127.0527811217,37.5915657534,마을버스,POINT (127.0527811217 37.5915657534)
103000508,6507,청계한신휴플러스,127.045036,37.571806,일반차로,POINT (127.045036 37.571806)
105900024,6509,경희중고,127.056427291,37.5943592428,마을버스,POINT (127.056427291 37.5943592428)
105900050,6510,경희대의료원,127.0522472422,37.5940620058,마을버스,POINT (127.0522472422 37.5940620058)
105900041,6511,한신휴플러스정문,127.0450796439,37.5727352624,마을버스,POINT (127.0450796439 37.5727352624)
105900023,6513,경희맨션,127.0570001318,37.5956150844,마을버스,POINT (127.0570001318 37.5956150844)
105900022,6515,동아아파트,127.0455832239,37.5742471004,마을버스,POINT (127.0455832239 37.5742471004)
105900021,6517,미니슈퍼,127.0568673052,37.5966712234,마을버스,POINT (127.0568673052 37.5966712234)
105900020,6519,전농119안전센터,127.0456081798,37.5761835356,마을버스,POINT (127.0456081798 37.5761835356)
105900019,6521,외대.경희대후문,127.0571505475,37.5983128684,마을버스,POINT (127.0571505475 37.5983128684)
105900018,6523,전농1동치안센터,127.0480957022,37.5764222386,마을버스,POINT (127.0480957022 37.5764222386)
105900017,6524,휘경여중고.휘경주공아파트,127.0685629353,37.5824548381,마을버스,POINT (127.0685629353 37.5824548381)
105900038,6526,신성미소지움아파트,127.0501307614,37.5789318307,마을버스,POINT (127.0501307614 37.5789318307)
105900016,6528,삼성래미안,127.0574111213,37.5999148754,마을버스,POINT (127.0574111213 37.5999148754)
105900039,6530,청량리소화물취급소,127.0514146373,37.5805090878,마을버스,POINT (127.0514146373 37.5805090878)
105900036,6533,영광빌딩,127.0525059131,37.5818431221,마을버스,POINT (127.0525059131 37.5818431221)
105900013,6535,새마을금고앞,127.0601637112,37.5977887402,마을버스,POINT (127.0601637112 37.5977887402)
105900015,6537,시립대입구,127.0534663672,37.5838521215,마을버스,POINT (127.0534663672 37.5838521215)
105900056,6539,외대앞역,127.062826,37.595336,마을버스,POINT (127.062826 37.595336)
105900014,6543,새마을금고앞,127.0602362489,37.5978607902,마을버스,POINT (127.0602362489 37.5978607902)
105900053,6546,회기역종점,127.0587395905,37.5898517712,마을버스,POINT (127.0587395905 37.5898517712)
105900012,6556,외대.경희대후문,127.0569625455,37.5983039484,마을버스,POINT (127.0569625455 37.5983039484)
105900029,6557,신설동역1번출구,127.023871,37.575968,마을버스,POINT (127.023871 37.575968)
105900011,6560,미니슈퍼,127.056746183,37.5967406655,마을버스,POINT (127.056746183 37.5967406655)
105900009,6564,딩동슈퍼,127.0569106983,37.5956556765,마을버스,POINT (127.0569106983 37.5956556765)
105900007,6567,경희중고,127.056342578,37.5946512359,마을버스,POINT (127.056342578 37.5946512359)
105900006,6570,동안교회,127.0573015187,37.5928603119,마을버스,POINT (127.0573015187 37.5928603119)
105900005,6572,동대부고.은석초교앞,127.073669,37.57926,마을버스,POINT (127.073669 37.57926)
105900004,6575,서울시립대,127.0531816401,37.5831151587,마을버스,POINT (127.0531816401 37.5831151587)
105900037,6576,영광빌딩,127.0521991693,37.5819811249,마을버스,POINT (127.0521991693 37.5819811249)
105900040,6577,청량리소화물취급소,127.0511350317,37.5805903074,마을버스,POINT (127.0511350317 37.5805903074)
105900031,6578,신성미소지움아파트,127.0495757982,37.5786581335,마을버스,POINT (127.0495757982 37.5786581335)
105900032,6579,전농1동치안센터,127.0476065132,37.5762782623,마을버스,POINT (127.0476065132 37.5762782623)
105900033,6580,동대문해병전우회,127.0455245142,37.5763718959,마을버스,POINT (127.0455245142 37.5763718959)
105900034,6581,태양어린이.동아아파트,127.0454348029,37.5740642361,마을버스,POINT (127.0454348029 37.5740642361)
105900035,6582,한신휴플러스후문,127.0467315569,37.572989629,마을버스,POINT (127.0467315569 37.572989629)
105900042,6583,신답역,127.0492345839,37.5711404728,마을버스,POINT (127.0492345839 37.5711404728)
105900003,6584,장미예식장,127.0505437481,37.5701586306,마을버스,POINT (127.0505437481 37.5701586306)
105900044,6585,동부자동차매매시장,127.0514870981,37.5689958143,마을버스,POINT (127.0514870981 37.5689958143)
105900045,6586,답십리역.경우회매장입구,127.0534863549,37.567473882,마을버스,POINT (127.0534863549 37.567473882)
105900046,6587,답십리쌍마사거리,127.0552015711,37.5661899369,마을버스,POINT (127.0552015711 37.5661899369)
105900047,6588,부속상가,127.0566146653,37.5651430993,마을버스,POINT (127.0566146653 37.5651430993)
105900002,6591,고려대역3번출구,127.0365261369,37.5904833874,마을버스,POINT (127.0365261369 37.5904833874)
105900001,6594,의료원입구사거리,127.052658489,37.5926993775,마을버스,POINT (127.052658489 37.5926993775)
105900054,6595,삼육서울병원,127.0622219909,37.5902762019,마을버스,POINT (127.0622219909 37.5902762019)
105000316,6626,장안삼거리,127.0723517263,37.5780291247,일반차로,POINT (127.0723517263 37.5780291247)
105000318,6628,장안사거리삼성래미안,127.0720255408,37.5732093887,일반차로,POINT (127.0720255408 37.5732093887)
105000319,6629,장안사거리삼성래미안,127.0716864575,37.5737862935,일반차로,POINT (127.0716864575 37.5737862935)
105000321,6631,장한평역,127.067083,37.561336,일반차로,POINT (127.067083 37.561336)
105000407,6755,청량리역,127.0462731283,37.5804355236,일반차로,POINT (127.0462731283 37.5804355236)
105000408,6756,서울시립대입구,127.0538030705,37.5828562643,일반차로,POINT (127.0538030705 37.5828562643)
105000409,6757,전농로터리시장,127.0571016136,37.5772526361,일반차로,POINT (127.0571016136 37.5772526361)
105000410,6758,신답역,127.0477839986,37.5705481504,일반차로,POINT (127.0477839986 37.5705481504)
105000420,6768,장안삼거리,127.0719971746,37.5778473212,일반차로,POINT (127.0719971746 37.5778473212)
105000426,6774,신설동로터리.서울풍물시장,127.0234166489,37.5742755859,일반차로,POINT (127.0234166489 37.5742755859)
105000438,6775,경동시장앞,127.0386578148,37.58056802,일반차로,POINT (127.0386578148 37.58056802)
105000555,6776,경동시장사거리,127.038109149,37.5772293536,일반차로,POINT (127.038109149 37.5772293536)
105000429,6777,경남관광호텔,127.070482,37.570577,일반차로,POINT (127.070482 37.570577)
105000430,6778,경남관광호텔,127.0707390026,37.5703410911,일반차로,POINT (127.0707390026 37.5703410911)
105000489,6779,동답초교.대림아파트,127.06523,37.571208,일반차로,POINT (127.06523 37.571208)
105000557,6780,정화여자중.상업고등학교,127.041754,37.586801,일반차로,POINT (127.041754 37.586801)
105000556,6781,정화여자중.상업고등학교,127.041841,37.586612,일반차로,POINT (127.041841 37.586612)
105000440,6999,동대문노인종합복지관,127.0492581619,37.5863103228,일반차로,POINT (127.0492581619 37.5863103228)
107000067,8157,우신향병원,127.0316104668,37.5851359404,일반차로,POINT (127.0316104668 37.5851359404)
